"Country","Num_Occurrences","AQI_Value","CO_AQI_Value","Ozone_AQI_Value","NO2_AQI_Value","PM2.5_AQI_Value","Continent"
"Maldives",1,19,0,19,0,15,"Asia"
"Mali",25,83.16,1.04,20.64,0.4,83.16,"Africa"
"Malta",11,51.36,1,49.73,0.82,39.82,"Europe"
"Mauritania",4,179,0.75,28.5,0,179,"Africa"
"Mauritius",18,41,0.28,28.22,0,40.61,"Africa"
"Mexico",588,89.54,1.75,16.82,4.93,89.29,"North America"
"Monaco",1,56,1,56,1,42,"Europe"
"Mongolia",10,53.4,0.9,33.3,0,48.4,"Asia"
"Montenegro",4,64.75,1,33.25,0.25,64.75,"Europe"
"Morocco",19,45.37,1.16,29.58,3.95,43.74,"Africa"
"Mozambique",23,36.83,0.57,22.35,0.04,36.22,"Africa"
"Myanmar",59,40.17,0.44,22.05,0.2,39,"Asia"
"Namibia",17,76.88,0.41,20.47,0,75.71,"Africa"
"Nepal",33,116.36,2.45,67.58,0.79,116.27,"Asia"
"Netherlands",298,38.14,0.66,31.84,2.51,35.11,"Europe"
"New Zealand",22,30.73,0,20.91,0.86,27.14,"Oceania"
"Nicaragua",37,47.97,1,16.38,1.57,47.95,"North America"
"Niger",29,75.69,1.52,30.97,0.76,75.69,"Africa"
"Nigeria",144,99.61,3.81,24.85,2.27,99.61,"Africa"
"Norway",21,35.48,0.67,34.62,0.29,18.57,"Europe"
"Oman",6,137.5,1.33,97.83,1.83,134.83,"Asia"
"Pakistan",307,178.79,2.07,89.14,2.07,173.11,"Asia"
"Palau",1,16,0,16,0,7,"Oceania"
"Panama",27,68.44,1.78,18.04,5.59,68.44,"North America"
"Papua New Guinea",15,24.87,0,15.73,0.07,20.53,"Oceania"
"Paraguay",26,42.77,1.23,12.35,0.92,42.77,"South America"
"Peru",128,36.43,0.71,12,1.18,36.09,"South America"
"Philippines",337,61.2,0.97,22.32,1.2,61.05,"Asia"
"Poland",389,52.46,0.94,33.99,1.46,49.25,"Europe"
"Portugal",153,34.61,0.62,31.84,2.21,25.44,"Europe"
"Qatar",2,157.5,1,139,1.5,147.5,"Asia"
"Rep. of N. Macedonia",46,66.78,1,41.8,0.2,66.78,"Europe"
"Rep. of Tanzania",229,31.63,0.46,17.31,0.07,31.11,"Africa"
"Republic of Korea",1,421,27,0,91,415,"Asia"
"Republic of Moldova",28,52.96,1,43.07,0.04,49.79,"Europe"
"Romania",211,53.93,1,40.25,0.53,51.27,"Europe"
"Russian Federation",1241,42.51,1.04,34.13,1.11,34.51,"Asia"
"Rwanda",13,93.54,3.62,22.08,1.46,93.54,"Africa"
"Saint Kitts and Nevis",1,90,1,25,0,90,"North America"
"Saint Lucia",1,79,0,26,0,79,"North America"
"Saudi Arabia",14,149.29,1.29,77.07,0.64,149.29,"Asia"
"Senegal",33,152.42,1.39,22,1.88,152.42,"Africa"
"Serbia",89,67.99,1.02,40.56,0.85,67.64,"Europe"
"Seychelles",1,26,0,25,0,26,"Africa"
"Sierra Leone",15,44.2,1.13,16,0.07,44.07,"Africa"
"Singapore",1,91,1,29,4,91,"Asia"
"Slovakia",62,67.53,1,40.02,0.79,67.34,"Europe"
"Slovenia",16,70.88,1.12,40.56,1.31,69.88,"Europe"
"Solomon Islands",1,18,0,18,0,6,"Oceania"
"Somalia",18,72.06,0.17,21.5,0,72.06,"Africa"
"South Africa",174,113.04,5.38,16.67,6.67,113.04,"Africa"
"South Sudan",12,60.33,1.25,10.42,0,60.33,"Africa"
"Spain",425,38.46,0.81,31.41,1.83,30.22,"Europe"
"Sri Lanka",46,63.52,0.54,23.54,1.02,63.52,"Asia"
"State of Palestine",1,86,1,85,2,86,"Asia"
"Sudan",28,78.86,1.29,25.64,0.18,78.86,"Africa"
"Suriname",3,43.33,0.67,19,0,43.33,"South America"
"Sweden",97,36.16,0.7,34.69,0.25,21.04,"Europe"
"Switzerland",116,55.22,1.01,30.81,1.6,55.03,"Europe"
"Syrian Arab Republic",15,86.93,1,53,0.73,83.53,"Asia"
"Tajikistan",29,115.21,1,44.48,0.21,115.21,"Asia"
"Thailand",246,53.58,0.62,23,0.91,53.44,"Asia"
"Togo",19,65.16,1.32,19.32,0.47,65.16,"Africa"
"Trinidad and Tobago",8,94.5,0.75,21.75,3.5,94.5,"North America"
"Tunisia",44,70.91,1.11,53.05,1.75,58.7,"Africa"
"Turkey",241,51.67,0.9,40.55,0.35,45.71,"Asia"
"Turkmenistan",18,104.72,1,42.67,0.33,104.72,"Asia"
"Uganda",63,85.32,2.65,20.25,0.68,85.32,"Africa"
"Ukraine",219,51.05,1,37.95,0.68,43.68,"Europe"
"United Arab Emirates",3,163.67,1.33,159.67,3.33,152.67,"Asia"
"United Kingdom",400,39.52,0.72,27.63,3.47,35.99,"Europe"
"United States of America",2872,59.74,1.46,27.62,8.54,58.05,"North America"
"Uruguay",26,26.65,0.19,18.96,0.85,21.69,"South America"
"Uzbekistan",58,119.09,1.03,47.79,2.6,118.09,"Asia"
"Vanuatu",1,30,0,25,0,30,"Oceania"
"Venezuela",90,77.72,1.28,17.52,3.87,77.72,"South America"
"Viet Nam",60,87.05,2.37,46.23,2.63,82.48,"Asia"
"Yemen",7,144.57,1.29,55.43,0.71,144.57,"Asia"
"Zambia",42,40.67,0.69,20.19,0.1,39.95,"Africa"
"Zimbabwe",27,43.74,1.3,18.07,0.44,42.74,"Africa"
